term,type,category,description
Gravity-Tech,Core Technology,Foundation,Base technology for gravity manipulation and control
Wave Manipulation,Core Technology,Foundation,Control and manipulation of various wave types
Spacedrive,Propulsion,Core,Advanced propulsion system using gravity-tech
Directed Gravity Device,Utility,Core,Device for precise gravity manipulation
Gravimancy,Magic System,Core,Fusion of gravity-tech and magical principles
Spinjack,Core Technology,Foundation,Kinetic energy storage and manipulation
Turnstile,Propulsion,Core,Angular momentum propulsion system
Ionocaloric,Thermal,Core,Temperature manipulation through ion cycling
Caboodler,Utility,Core,Modular utility system
Rail Grindstone,Power,Core,Momentum storage and energy generation
Cubeport,Structure,Core,Main spaceport structure with themed faces
Oceth,Location,World,Main continent with ancient ruins and settlements
Drush Syndicate,Faction,World,Technology-focused faction
Lokex Frame,Faction,World,Advanced engineering faction
Feap Wardens,Faction,World,Environmental and thermal tech faction
The Shrow,Faction,World,Mysterious faction with advanced tech
Nethbound,Faction,World,Magic-tech fusion faction
United Systems,Faction,World,Main governing body
Devast Core,Power,Core,Volatile gravitational singularity generator for deep-space dreadnoughts
Devast Beacon,Weapon,Core,Resonance amplifier that disassembles enemy constructs via wave collapse
Devast Node,Utility,Core,Forbidden neural uplink terminal for AI cluster override
Devast Shard,Material,Core,Fractured crystal for high-tier magic/tech hybrids
Devast Engine,Propulsion,Core,Spinjack-aligned hyperspin engine using controlled entropy
Devast Mantle,Defense,Core,Defensive module that folds space around the user
Devast Pulse Array,Weapon,Core,Directed energy weapon feeding on momentum and temperature
Order of the Devast,Faction,World,Lost techno-religious order focused on spacetime manipulation
Devast Ark,Faction,World,Nomadic ship-faction believing in recursive annihilation
House Devast,Faction,World,Elite aristocracy from Oceth with forbidden tech mastery
The Devast Choir,Faction,World,Sonic warfare faction using resonance for control
Devast Reach,Location,World,Barren orbital belt with broken satellites and whisper storms
Devast Vale,Location,World,Crater region on Oceth with war artifacts and gravity seams
Devast Citadel,Location,World,Abandoned black cube tower orbiting a dead star
Devast Trench,Location,World,Continental scar with magnetic fog and tech-wildlife
Neth,Location,World,Dark net dimension or base-world region
Geeth,Currency,World,Organic AI race currency system
Shrow,Material,World,Mist-based stealth technology or biome
Tast,Consumable,Core,Light combat drug for speed enhancement
Scaen,Utility,Core,Memory-record scene or illusion zone technology
Tuemorrow,Concept,World,Next reality layer or daily reset mechanic
Merse,Currency,World,Liquid-world currency or drowned tech system
Sterick,Enemy,World,Rare enemy class or title designation
Synce,Utility,Core,Synchronization mechanic for ghost mirroring and revival
Evision,Utility,Core,Advanced vision mode for upgrades and hacking
Critle,Pet,World,Companion system or minor currency class
Zern,Currency,World,Primary currency or system state indicator
Feap,Mod,Core,Modification slot type or in-game action verb
Stique,Weapon,Core,Advanced weapon type or player fashion system
Starecrow,Enemy,World,Mid-tier boss or enemy type
Trip,Movement,Core,Movement ability or short loop event system
Hant,Utility,Core,Ghost signal or memory echo technology
Uncollapser,Utility,Core,Glitch-stable dimension or unbreakable structure tech
Shelse,Location,World,Side-zone or substrate region
Lokex Chip,Utility,Core,Advanced door/hack/lock mechanism
Struct,Architecture,Core,Advanced building or upgrade system
Grush,Movement,Core,Advanced movement or attack verb system
